Date,Event ID,Time,Class
2024-01-22,31248845,09:55,Science: Year 7: 7a/ScI
2024-01-22,31336540,11:10,Art and Design: Year 7: 7a/ArR
2024-01-22,31338444,12:05,Computer Science: Year 7: 7a/CsR
2024-01-22,30090398,13:30,Year 7: 7TL
2024-01-22,31242727,14:00,Maths: Year 7: 7a/MaI
2024-01-23,30121283,08:40,Year 7: 7TL
2024-01-23,29860140,09:00,Year 7: 7TL
2024-01-23,31244889,09:55,Maths: Year 7: 7a/MaI
2024-01-23,31246614,11:10,Spanish: Year 7: 7a/SpI
2024-01-23,31344072,12:05,Music: Year 7: 7a/MuR
2024-01-23,30112513,13:30,Year 7: 7TL
2024-01-23,31238219,14:00,English Comb: Year 7: 7a/EnI
2024-01-24,30130373,08:40,Year 7: 7TL
2024-01-24,31240059,09:00,Maths: Year 7: 7a/MaI
2024-01-24,31243141,09:55,Science: Year 7: 7a/ScI
2024-01-24,31339732,11:10,History: Year 7: 7a/HiR
2024-01-24,31341916,12:05,Geography: Year 7: 7a/GeR
2024-01-24,30141800,13:30,Year 7: 7TL
